id,topic,hanzi
8018,数字,零
8019,数字,一
8020,数字,二
8021,数字,三
8022,数字,四
8023,数字,五
8024,数字,六
8025,数字,七
8026,数字,八
8027,数字,九
8028,数字,十
8029,数字,百
8030,数字,千万
8032,数字,亿
8033,数字,兆
8034,数字,壹
8035,数字,贰
8036,数字,叁
8037,数字,肆
8038,数字,伍
8039,数字,陆
8040,数字,柒
8041,数字,捌
8042,数字,玖
8043,数字,拾
8044,数字,佰
8045,数字,仟
8050,数字,多少
8062,数学,整数
8063,数学,小数
8064,数学,分数
8065,数学,奇数
8066,数学,偶数
8068,数学,合数
8072,数学,实数
8073,数学,虚数
8074,数学,复数
8075,数学,零头
8077,数学,倍数
8078,数学,约数
8080,数学,指数
8081,数学,底数
8083,数学,幂
8084,数学,平方
8085,数学,立方
8086,数学,开方
8088,数学,百分
8090,数学,万分
8091,数学,比率
8092,数学,比例
8093,数学,概率
8094,数学,统计
8095,数学,平均
8096,数学,总和
8101,数学,近似
8102,数学,精确
8104,数学,大于
8105,数学,小于
8106,数学,等于
8107,数学,不等
8108,数学,加减
8110,数学,运算
8111,数学,计算
8112,数学,计数
8113,数学,序号
8114,数学,编号
8117,数学,数字
8129,数学,有限
8130,数学,无限
8131,数学,定量
8132,数学,变量
8133,数学,常量
8134,数学,参数
8135,数学,系数
8136,数学,序数
8137,数学,基数
8139,数学,百分比
8142,数学,百分点
8144,数学,比例尺
8145,数学,增长率
8151,数学,加倍
8152,数学,减半
8153,数学,递增
8154,数学,递减
8167,数学,零数
8174,数学,进位
8175,数学,退位
8176,数学,十进制
8177,数学,二进制
8182,数学,算盘
8183,数学,算术
8184,数学,代数
8185,数学,几何
8186,数学,三角
8187,数学,函数
8188,数学,方程
8189,数学,不等式
8190,数学,数列
8192,数学,微分
8193,数学,积分
8194,数学,极限
8195,数学,无穷
8200,数学,正数
8201,数学,负数
8206,数学,倒数
8207,数学,乘方
8209,数学,根
8210,数学,方根
8222,数学,平均数
8229,数学,频率
8231,数学,期望值
8234,数学,序列
8235,数学,排列
8236,数学,组合
8248,数学,精度
8250,数学,四舍五入
8263,数学,分解
8265,数学,通分
8269,数学,正比例
8270,数学,反比例
8272,数学,百分率
8283,数学,峰值
8288,数学,区间
8293,数学,坐标
8294,数学,横坐标
8301,数学,数量级
8303,数学,线性
8305,数学,单调
8313,数学,收敛
8314,数学,发散
8324,数学,面积
8325,数学,体积
8326,数学,周长
8333,数学,半径
8334,数学,直径
8335,数学,圆周率
8388,数学,期望
8405,数学,误差
8435,数学,下界
8460,数学,向量
8461,数学,标量
9022,时间日期,年
9023,时间日期,月
9024,时间日期,日
9025,时间日期,时
9026,时间日期,分
9027,时间日期,秒
9028,时间日期,天
9029,时间日期,周
9030,时间日期,星期
9031,时间日期,季度
9036,时间日期,小时
9039,时间日期,今天
9040,时间日期,明天
9041,时间日期,昨天
9042,时间日期,后天
9043,时间日期,前天
9044,时间日期,早上
9045,时间日期,上午
9046,时间日期,中午
9047,时间日期,下午
9048,时间日期,晚上
9049,时间日期,半夜
9050,时间日期,凌晨
9051,时间日期,黄昏
9052,时间日期,黎明
9053,时间日期,早晨
9054,时间日期,午前
9055,时间日期,午后
9056,时间日期,傍晚
9057,时间日期,白天
9058,时间日期,黑夜
9059,时间日期,午夜
9060,时间日期,正午
9061,时间日期,子时
9062,时间日期,丑时
9063,时间日期,寅时
9065,时间日期,辰时
9066,时间日期,巳时
9067,时间日期,午时
9068,时间日期,未时
9069,时间日期,申时
9070,时间日期,酉时
9071,时间日期,戌时
9072,时间日期,亥时
9073,时间日期,春季
9074,时间日期,夏季
9075,时间日期,秋季
9076,时间日期,冬季
9077,时间日期,春天
9078,时间日期,夏天
9079,时间日期,秋天
9080,时间日期,冬天
9081,时间日期,立春
9082,时间日期,立夏
9083,时间日期,立秋
9084,时间日期,立冬
9085,时间日期,春分
9086,时间日期,夏至
9087,时间日期,秋分
9088,时间日期,冬至
9089,时间日期,元旦
9090,时间日期,春节
9091,时间日期,元宵节
9092,时间日期,清明节
9093,时间日期,端午节
9094,时间日期,中秋节
9096,时间日期,除夕
9097,时间日期,生日
9098,时间日期,纪念日
9099,时间日期,节日
9100,时间日期,假期
9101,时间日期,周末
9102,时间日期,工作日
9110,时间日期,星期日
9119,时间日期,下月
9120,时间日期,上月
9122,时间日期,今年
9123,时间日期,明年
9124,时间日期,去年
9125,时间日期,前年
9126,时间日期,后年
9128,时间日期,世纪末
9129,时间日期,年代
9130,时间日期,世纪
9133,时间日期,百年
9135,时间日期,年份
9136,时间日期,月份
9137,时间日期,日期
9138,时间日期,时刻
9141,时间日期,期间
9142,时间日期,期限
9143,时间日期,周期
9144,时间日期,时长
9145,时间日期,间隔
9146,时间日期,跨度
9147,时间日期,瞬间
9148,时间日期,刹那
9149,时间日期,片刻
9150,时间日期,一会儿
9151,时间日期,目前
9152,时间日期,现在
9153,时间日期,过去
9154,时间日期,未来
9155,时间日期,将来
9156,时间日期,以前
9157,时间日期,以后
9158,时间日期,之前
9159,时间日期,之后
9160,时间日期,当时
9161,时间日期,同时
9162,时间日期,随时
9163,时间日期,即刻
9164,时间日期,立即
9165,时间日期,马上
9166,时间日期,立刻
9167,时间日期,刚才
9168,时间日期,刚刚
9169,时间日期,已经
9170,时间日期,曾经
9171,时间日期,早已
9172,时间日期,即将
9173,时间日期,将要
9174,时间日期,快要
9176,时间日期,迟早
9177,时间日期,始终
9178,时间日期,永远
9179,时间日期,永久
9181,时间日期,短暂
9182,时间日期,长期
9183,时间日期,短期
9184,时间日期,中期
9185,时间日期,早期
9186,时间日期,晚期
9187,时间日期,初期
9188,时间日期,末期
9189,时间日期,前期
9190,时间日期,后期
9191,时间日期,时代
9192,时间日期,时期
9193,时间日期,季节
9194,时间日期,节气
9195,时间日期,农历
9196,时间日期,公历
9197,时间日期,阳历
9198,时间日期,阴历
9199,时间日期,闰年
9200,时间日期,闰月
9201,时间日期,平年
9202,时间日期,大月
9203,时间日期,小月
9204,时间日期,朔日
9205,时间日期,望日
9206,时间日期,月初
9207,时间日期,月底
9208,时间日期,月中
9209,时间日期,上旬
9210,时间日期,中旬
9211,时间日期,下旬
9214,时间日期,月末
9215,时间日期,岁末
9216,时间日期,年末
9217,时间日期,年底
9218,时间日期,年初
9219,时间日期,年头
9220,时间日期,年终
9221,时间日期,岁初
9223,时间日期,圣诞
9224,时间日期,复活节
9225,时间日期,感恩节
9226,时间日期,七夕
9227,时间日期,重阳节
9229,时间日期,小年
9230,时间日期,大年
9232,时间日期,元宵
9233,时间日期,上元节
9237,时间日期,劳动节
9239,时间日期,儿童节
9240,时间日期,教师节
9242,时间日期,母亲节
9246,时间日期,新年
9247,时间日期,旧年
9249,时间日期,来年
9259,时间日期,整天
9260,时间日期,整夜
9261,时间日期,半天
9262,时间日期,半日
9264,时间日期,子夜
9265,时间日期,拂晓
9266,时间日期,破晓
9267,时间日期,日出
9268,时间日期,日落
9271,时间日期,晌午
9278,时间日期,深夜
9279,时间日期,清晨
9285,时间日期,时差
9289,时间日期,北京时间
9291,时间日期,时区
9293,时间日期,世界时
9294,时间日期,计时
9295,时间日期,报时
9297,时间日期,秒表
9298,时间日期,时钟
9299,时间日期,闹钟
9300,时间日期,日历
9301,时间日期,日程
9302,时间日期,时间表
9303,时间日期,时刻表
9304,时间日期,年历
9305,时间日期,月历
9307,时间日期,万年历
9308,时间日期,纪元
9309,时间日期,公元
9313,时间日期,朝代
9315,时间日期,古代
9316,时间日期,近代
9317,时间日期,现代
9318,时间日期,当代
9319,时间日期,远古
9320,时间日期,史前
9322,时间日期,当下
9323,时间日期,此刻
9324,时间日期,那时
9329,时间日期,整点
9333,时间日期,时辰
9335,时间日期,打更
9344,时间日期,原子钟
9345,时间日期,生物钟
9364,时间日期,时间差
9551,颜色形状,红色
9552,颜色形状,橙色
9553,颜色形状,黄色
9554,颜色形状,绿色
9555,颜色形状,蓝色
9557,颜色形状,紫色
9558,颜色形状,白色
9559,颜色形状,黑色
9560,颜色形状,灰色
9561,颜色形状,棕色
9562,颜色形状,粉色
9563,颜色形状,金色
9564,颜色形状,银色
9566,颜色形状,玄色
9567,颜色形状,赤色
9568,颜色形状,朱红
9569,颜色形状,嫣红
9570,颜色形状,绯红
9571,颜色形状,桃红
9573,颜色形状,枣红
9575,颜色形状,火红
9576,颜色形状,血红
9577,颜色形状,橘红
9579,颜色形状,品红
9580,颜色形状,胭脂
9581,颜色形状,洋红
9582,颜色形状,橙红
9583,颜色形状,橙黄
9584,颜色形状,杏黄
9585,颜色形状,米黄
9586,颜色形状,鹅黄
9589,颜色形状,土黄
9590,颜色形状,枯黄
9591,颜色形状,金黄
9592,颜色形状,橘黄
9593,颜色形状,草绿
9594,颜色形状,翠绿
9595,颜色形状,碧绿
9596,颜色形状,墨绿
9599,颜色形状,嫩绿
9600,颜色形状,葱绿
9601,颜色形状,豆绿
9602,颜色形状,橄榄绿
9605,颜色形状,湖蓝
9606,颜色形状,天蓝
9607,颜色形状,湛蓝
9608,颜色形状,蔚蓝
9609,颜色形状,宝蓝
9610,颜色形状,藏蓝
9613,颜色形状,海蓝
9614,颜色形状,孔雀蓝
9616,颜色形状,靛蓝
9618,颜色形状,紫红
9619,颜色形状,紫罗兰
9625,颜色形状,乳白
9626,颜色形状,雪白
9627,颜色形状,洁白
9631,颜色形状,灰白
9632,颜色形状,苍白
9633,颜色形状,漆黑
9634,颜色形状,炭黑
9636,颜色形状,乌黑
9637,颜色形状,墨黑
9640,颜色形状,银灰
9641,颜色形状,烟灰
9642,颜色形状,铅灰
9644,颜色形状,驼色
9645,颜色形状,米色
9646,颜色形状,咖啡色
9647,颜色形状,栗色
9649,颜色形状,古铜色
9650,颜色形状,肤色
9651,颜色形状,肉色
9682,颜色形状,圆形
9684,颜色形状,正方形
9685,颜色形状,长方形
9686,颜色形状,矩形
9687,颜色形状,三角形
9693,颜色形状,四边形
9695,颜色形状,菱形
9696,颜色形状,梯形
9698,颜色形状,六边形
9701,颜色形状,多边形
9704,颜色形状,五角星
9709,颜色形状,弧形
9711,颜色形状,扇形
9716,颜色形状,环形
9722,颜色形状,立方体
9723,颜色形状,正方体
9724,颜色形状,长方体
9725,颜色形状,锥形
9728,颜色形状,圆柱
9737,颜色形状,平面
9738,颜色形状,立体
9739,颜色形状,曲面
9741,颜色形状,凹面
9766,颜色形状,黑白
9952,水果,苹果
9953,水果,香蕉
9955,水果,葡萄
9956,水果,西瓜
9957,水果,草莓
9958,水果,桃子
9959,水果,梨
9960,水果,樱桃
9961,水果,猕猴桃
9962,水果,芒果
9963,水果,菠萝
9964,水果,柚子
9965,水果,柠檬
9966,水果,榴莲
9967,水果,荔枝
9968,水果,龙眼
9970,水果,柿子
9971,水果,石榴
9972,水果,李子
9973,水果,杏子
9974,水果,梅子
9975,水果,杨梅
9977,水果,桑葚
9978,水果,山楂
9979,水果,哈密瓜
9980,水果,木瓜
9981,水果,甘蔗
9982,水果,椰子
9983,水果,枣
9984,水果,无花果
9991,水果,杨桃
10001,水果,沙棘
10005,水果,柑橘
10006,水果,橙
10007,水果,柑
10008,水果,橘
10010,水果,甜橙
10013,水果,脐橙
10023,水果,沙果
10024,水果,花红
10026,水果,鸭梨
10027,水果,雪梨
10031,水果,水蜜桃
10033,水果,蟠桃
10039,水果,青梅
10040,水果,乌梅
10041,水果,话梅
10043,水果,葡萄干
10069,水果,脆枣
10070,水果,蜜枣
10071,水果,椰枣
10072,水果,黑枣
10073,水果,红枣
10077,水果,桂圆
10087,水果,菠萝蜜
10111,水果,橄榄
10129,水果,芭蕉
10134,水果,覆盆子
10174,水果,甜瓜
10175,水果,香瓜
10176,水果,白兰瓜
10393,蔬菜,白菜
10394,蔬菜,青菜
10395,蔬菜,菠菜
10396,蔬菜,油菜
10397,蔬菜,生菜
10398,蔬菜,韭菜
10399,蔬菜,芹菜
10400,蔬菜,香菜
10402,蔬菜,空心菜
10404,蔬菜,苋菜
10406,蔬菜,芥菜
10407,蔬菜,雪里蕻
10408,蔬菜,甘蓝
10409,蔬菜,卷心菜
10410,蔬菜,花椰菜
10412,蔬菜,菜花
10415,蔬菜,萝卜
10416,蔬菜,胡萝卜
10421,蔬菜,土豆
10422,蔬菜,马铃薯
10423,蔬菜,红薯
10424,蔬菜,山药
10425,蔬菜,芋头
10426,蔬菜,莲藕
10428,蔬菜,菱角
10429,蔬菜,慈姑
10430,蔬菜,竹笋
10431,蔬菜,芦笋
10432,蔬菜,莴笋
10433,蔬菜,茭白
10436,蔬菜,黄豆芽
10438,蔬菜,番茄
10439,蔬菜,西红柿
10440,蔬菜,茄子
10441,蔬菜,辣椒
10442,蔬菜,青椒
10444,蔬菜,甜椒
10446,蔬菜,黄瓜
10447,蔬菜,冬瓜
10448,蔬菜,南瓜
10449,蔬菜,西葫芦
10450,蔬菜,丝瓜
10451,蔬菜,苦瓜
10458,蔬菜,扁豆
10459,蔬菜,豌豆
10460,蔬菜,蚕豆
10461,蔬菜,毛豆
10463,蔬菜,刀豆
10464,蔬菜,菜豆
10468,蔬菜,葱
10469,蔬菜,大葱
10470,蔬菜,小葱
10471,蔬菜,洋葱
10472,蔬菜,蒜
10473,蔬菜,大蒜
10474,蔬菜,蒜苗
10475,蔬菜,蒜薹
10476,蔬菜,姜
10477,蔬菜,生姜
10479,蔬菜,韭黄
10482,蔬菜,香菇
10483,蔬菜,蘑菇
10489,蔬菜,草菇
10491,蔬菜,海带
10492,蔬菜,紫菜
10494,蔬菜,石花菜
10495,蔬菜,发菜
10497,蔬菜,黄花菜
10499,蔬菜,马齿苋
10500,蔬菜,荠菜
10501,蔬菜,蒲公英
10505,蔬菜,香椿
10506,蔬菜,茴香
10511,蔬菜,芥蓝
10512,蔬菜,菜心
10513,蔬菜,小白菜
10514,蔬菜,大白菜
10528,蔬菜,芜菁
10537,蔬菜,莴苣
10540,蔬菜,甜菜
10603,蔬菜,大头菜
10623,蔬菜,野菜
10636,蔬菜,花菜
10665,蔬菜,魔芋
10674,蔬菜,木薯
10676,蔬菜,百合
10690,蔬菜,豆苗
10691,蔬菜,豆荚
11368,肉蛋海鲜,海鲜
11382,肉蛋海鲜,鱼肉
11383,肉蛋海鲜,虾
11384,肉蛋海鲜,蟹
11385,肉蛋海鲜,贝
11386,肉蛋海鲜,螺
11388,肉蛋海鲜,章鱼
11389,肉蛋海鲜,海参
11390,肉蛋海鲜,海胆
11391,肉蛋海鲜,海蜇
11392,肉蛋海鲜,鲍鱼
11393,肉蛋海鲜,龙虾
11394,肉蛋海鲜,对虾
11395,肉蛋海鲜,基围虾
11399,肉蛋海鲜,梭子蟹
11402,肉蛋海鲜,蛤蜊
11404,肉蛋海鲜,文蛤
11405,肉蛋海鲜,蛏子
11406,肉蛋海鲜,扇贝
11408,肉蛋海鲜,牡蛎
11410,肉蛋海鲜,海螺
11412,肉蛋海鲜,田螺
11416,肉蛋海鲜,鱼翅
11417,肉蛋海鲜,鱼肚
11418,肉蛋海鲜,鱼皮
11420,肉蛋海鲜,鱼子
11424,肉蛋海鲜,火腿
11425,肉蛋海鲜,腊肉
11426,肉蛋海鲜,熏肉
11427,肉蛋海鲜,烤肉
11428,肉蛋海鲜,叉烧
11431,肉蛋海鲜,酱肉
11432,肉蛋海鲜,肉松
11434,肉蛋海鲜,肉脯
11435,肉蛋海鲜,肉丝
11439,肉蛋海鲜,肉丸
11440,肉蛋海鲜,肉饼
11442,肉蛋海鲜,香肠
11444,肉蛋海鲜,午餐肉
11447,肉蛋海鲜,鸭蛋
11451,肉蛋海鲜,皮蛋
11455,肉蛋海鲜,荷包蛋
11461,肉蛋海鲜,蛋清
11462,肉蛋海鲜,蛋黄
11463,肉蛋海鲜,蛋白
11464,肉蛋海鲜,蛋羹
11471,肉蛋海鲜,肉丁
11473,肉蛋海鲜,里脊
11474,肉蛋海鲜,五花肉
11475,肉蛋海鲜,排骨
11499,肉蛋海鲜,牛筋
11501,肉蛋海鲜,羊肉串
11510,肉蛋海鲜,鸡胸
11514,肉蛋海鲜,鸡心
11515,肉蛋海鲜,鸡皮
11531,肉蛋海鲜,虾酱
11534,肉蛋海鲜,蚝油
11536,肉蛋海鲜,虾皮
11537,肉蛋海鲜,虾米
